구분,사례수,주변인(가족_친구_동료 등),온라인 정보(사이트 또는 앱),과거 방문 경험,언론보도(신문_TV 등),정보 없이 방문,광고(신문_TV_지하철_버스),여행사(방문_전화),기타,여행서적 및 홍보물
전체,10361,48.9,45.2,31.7,3.1,2.8,1.4,1,0.7,0.6
(관광지 유형(대분류))관광장소 및 시설,7360,47.3,49.1,31.4,3,2.4,1.3,1,1,0.6
(관광지 유형(대분류))문화,1222,56.7,37,34,3.2,3.4,1.3,0.7,0.1,0.8
(관광지 유형(대분류))자연 및 생태환경,1779,50.2,35.2,31.4,3.5,4.1,1.6,1.5,0,0.8
(관광지 유형(중분류))공원,207,29.6,13.8,69.5,0.3,0.3,0,0.3,0,0.5
(관광지 유형(중분류))관광지구,751,47.6,40.6,30.9,2,7.3,2.2,4.3,0.1,0.3
(관광지 유형(중분류))숙박음식시설,200,43.3,71.5,23.3,4.2,1.3,3.1,0,0,1.6
(관광지 유형(중분류))스포츠체육시설,205,28.9,20.6,69,2.8,3.5,0.3,0.3,0,0.3
(관광지 유형(중분류))유원휴양수련시설,4930,49.3,49.7,31.4,3,2,1.2,0.4,1,0.6
(관광지 유형(중분류))전시관람시설,1067,45.9,60,18.9,4.1,1,1.4,1.6,1.8,0.5
(관광지 유형(중분류))건축,293,67,55.9,21.5,7.2,2.1,3.4,0.2,0,1.6
(관광지 유형(중분류))마을,292,72.2,45.1,22.8,0.6,3.1,0.6,2,0,0
(관광지 유형(중분류))유적지 및 사적지,637,44.8,24.6,44.9,2.6,4.1,0.7,0.3,0.2,0.8
(관광지 유형(중분류))경승지,64,60.6,49.9,17.1,1.3,6.7,1.3,2.6,0,2.8
(관광지 유형(중분류))동식물,32,54.2,45.7,35.5,0.7,1.3,0,0,0,1.3
(관광지 유형(중분류))보호구역,219,40.9,28.7,50.7,1.6,3.9,0.8,0.7,0,0.6
(관광지 유형(중분류))산악 및 평지자원,249,41.9,13,62.7,0,1.9,0.2,4.2,0,0.7
(관광지 유형(중분류))수변 및 해양자원,1215,52.9,39.8,22.2,4.7,4.6,2,1.1,0,0.7
(조사분기)2분기,3686,44.5,47.7,29,2.2,3.1,0.9,2.1,1.2,0.6
(조사분기)3분기,3305,48.7,45.5,34.3,3.3,3.4,1.8,0.4,0.8,0.8
(조사분기)4분기,3370,54,42.3,32.2,3.9,1.9,1.5,0.5,0,0.5
(성별)남성,4670,49.6,45.1,32,3.5,2.6,1.2,1,0.6,0.6
(성별)여성,5691,48.3,45.4,31.5,2.8,2.9,1.5,1,0.8,0.6
(연령)10대,738,62.4,41.1,15.8,1.5,3.7,0.3,0.6,9.3,0.6
(연령)20대,1827,55.7,63.5,17.6,3.3,2,1.6,1.2,0,0.8
(연령)30대,2623,43.1,57.2,30.8,2.8,1.3,1.6,0.7,0.1,0.6
(연령)40대,1969,41.5,47.1,40.4,3.1,2.2,1.5,0.7,0,0.6
(연령)50대,1378,48.7,35.4,35.7,4.2,3.9,1.2,1.5,0.1,0.5
(연령)60대 이상,1826,53.2,16.8,41.2,3.2,5.1,1,1.4,0,0.7
(지역1)서울,2616,49.8,49.4,26.9,3.5,3.1,1.5,1.1,0.1,0.8
(지역1)경기/인천,6275,45.6,40.6,37.6,3,2.8,1.4,0.9,0.4,0.6
(지역1)수도권 외,1470,61.4,57.8,15.3,2.9,2.2,0.9,1.2,3,0.6
(지역2)동일 시군거주,943,26.6,20.2,69.1,1.4,4.2,0.5,0.1,0.2,0.4
(지역2)이외 시군거주,9418,51.2,47.8,28,3.3,2.6,1.5,1.1,0.7,0.6
