구분,사례수,온라인 정보(사이트 또는 앱),주변인(가족_친구_동료 등),과거 방문 경험,정보 없이 방문,언론보도(신문_TV 등),기타,여행사(방문_전화),광고(신문_TV_지하철_버스),여행서적_홍보물,계
전체,10361,36,29.6,28.2,2.8,1.3,0.7,0.7,0.6,0.2,100
(관광지 유형(대분류))관광장소 및 시설,7360,39.8,26.2,28.2,2.4,1.2,0.9,0.6,0.5,0.1,100
(관광지 유형(대분류))문화,1222,28,37.7,29.1,3.4,0.7,0.1,0.3,0.6,0.2,100
(관광지 유형(대분류))자연 및 생태환경,1779,25.8,38,27.4,4.1,2.2,0,1,1,0.6,100
(관광지 유형(중분류))공원,207,11.2,24.7,63.3,0.3,0,0,0.2,0,0.3,100
(관광지 유형(중분류))관광지구,751,33.6,26.7,27.1,7.3,1.4,0,3.4,0.5,0,100
(관광지 유형(중분류))숙박음식시설,200,50.8,28.4,15.8,1.3,1.6,0,0,1.2,1,100
(관광지 유형(중분류))스포츠체육시설,205,13.1,21.7,59.1,3.5,1.9,0,0.3,0.3,0,100
(관광지 유형(중분류))유원휴양수련시설,4930,40.6,25.8,28.8,2,1.1,1,0.2,0.5,0.1,100
(관광지 유형(중분류))전시관람시설,1067,49.1,28.4,15.7,1,2,1.8,1.2,0.5,0.3,100
(관광지 유형(중분류))건축,293,44.6,33.6,17.5,2.1,0.9,0,0.2,1.1,0.1,100
(관광지 유형(중분류))마을,292,29.8,50.5,15.3,3.1,0.3,0,0.4,0.6,0,100
(관광지 유형(중분류))유적지 및 사적지,637,19.5,33.7,40.7,4.1,0.9,0.2,0.3,0.4,0.3,100
(관광지 유형(중분류))경승지,64,28.5,47.3,14,6.7,1.3,0,0.9,0,1.3,100
(관광지 유형(중분류))동식물,32,36.6,31.3,30.9,1.3,0,0,0,0,0,100
(관광지 유형(중분류))보호구역,219,24.4,25.3,44.6,3.9,0.6,0,0.7,0.4,0,100
(관광지 유형(중분류))산악 및 평지자원,249,7.4,26.4,59.6,1.9,0,0,4.2,0.2,0.2,100
(관광지 유형(중분류))수변 및 해양자원,1215,29.4,42.3,18.3,4.6,3,0,0.4,1.3,0.7,100
(조사분기)2분기,3686,37.9,28.3,26.1,3.1,1.3,1.1,1.6,0.4,0.2,100
(조사분기)3분기,3305,37.1,26.4,29.9,3.4,1.3,0.8,0.1,0.7,0.2,100
(조사분기)4분기,3370,32.9,34.1,28.8,1.9,1.4,0,0.2,0.6,0.2,100
(성별)남성,4670,35,30.1,28.9,2.6,1.4,0.6,0.7,0.5,0.2,100
(성별)여성,5691,36.8,29.1,27.6,2.9,1.3,0.7,0.7,0.6,0.2,100
(연령)10대,738,30.7,40.3,15,3.7,0.5,9.3,0.4,0.2,0,100
(연령)20대,1827,53.2,26.9,15.6,2,1.1,0,0.5,0.6,0.2,100
(연령)30대,2623,47.6,21.8,27.4,1.3,0.8,0,0.2,0.7,0.1,100
(연령)40대,1969,38,21.2,36,2.2,1.2,0,0.6,0.6,0.2,100
(연령)50대,1378,24.5,35.6,31.2,3.9,2.6,0,1.4,0.6,0.2,100
(연령)60대 이상,1826,11,43.5,36.6,5.1,1.9,0,1.1,0.5,0.4,100
(지역1)서울,2616,38.9,31.1,23.1,3.1,2,0,0.8,0.6,0.4,100
(지역1)경기/인천,6275,32.1,28.4,33.7,2.8,1.3,0.4,0.6,0.6,0.2,100
(지역1)수도권 외,1470,47.7,31.8,13.7,2.2,0.3,3,0.6,0.6,0,100
(지역2)동일 시군거주,943,13.7,15.8,65,4.2,0.8,0.1,0.1,0.2,0,100
(지역2)이외 시군거주,9418,38.3,30.9,24.5,2.6,1.4,0.7,0.7,0.6,0.2,100
