구분,사례수,방문지 정보(개장시간_입장료_휴무일 등),방문자 후기,여행 코스(주변 관광지 정보),지역 축제 및 행사,교통상황 및 이동시간,음식_맛집,숙박 시설,쇼핑,여행 경비,기타,없음
전체,10361,46.2,17.7,22.3,3.3,33.8,9.4,2.4,0.2,6,0,23.2
(관광지 유형(대분류))관광장소 및 시설,7360,50,19.9,21.2,3.9,31.6,6.9,2.6,0.2,7.6,0,22.6
(관광지 유형(대분류))문화,1222,48.2,10.3,25.6,2.1,49.5,10.7,0.4,0,2.5,0,16.9
(관광지 유형(대분류))자연 및 생태환경,1779,29.2,13.6,24.5,2,32.2,18.8,2.6,0.1,1.7,0,30.3
(관광지 유형(중분류))공원,207,10.5,7.3,45.3,2.1,52.4,8.4,0.2,0.3,0.5,0,28.6
(관광지 유형(중분류))관광지구,751,32.9,8.3,34.3,2.2,25.2,14,3.4,0.3,3.2,0,33
(관광지 유형(중분류))숙박음식시설,200,54.1,32,13.4,7,33.8,12.5,21.2,0,3,0.7,7.4
(관광지 유형(중분류))스포츠체육시설,205,26.2,5.6,17.7,3.7,31.5,5.9,0.4,0,0.5,0,39
(관광지 유형(중분류))유원휴양수련시설,4930,51.2,20.7,19.1,4.6,30.8,5.1,1.9,0.1,9.9,0,23.3
(관광지 유형(중분류))전시관람시설,1067,67.8,27.7,19.1,1.7,35.2,9.4,3,1.1,3.3,0,10.7
(관광지 유형(중분류))건축,293,46.3,12.5,45.1,2.2,63.4,11.8,0.2,0,4.4,0,0.5
(관광지 유형(중분류))마을,292,43.7,3.7,23.5,1,51.7,2.4,0,0,0,0,23.7
(관광지 유형(중분류))유적지 및 사적지,637,51.1,12.3,17.6,2.6,42.1,14,0.6,0,2.8,0,21.3
(관광지 유형(중분류))경승지,64,59.2,4.5,28.5,0.9,24,3.8,1.3,0,0,0,34.5
(관광지 유형(중분류))동식물,32,32.7,21.1,16.6,3.9,67,15.3,0,0,1.6,0,11.8
(관광지 유형(중분류))보호구역,219,25.1,10,23,1.4,15,14.9,2.9,0.4,1,0,49.9
(관광지 유형(중분류))산악 및 평지자원,249,20.2,16.2,24,3.2,22.9,12.5,0.4,0,1.9,0,44.5
(관광지 유형(중분류))수변 및 해양자원,1215,30.1,14,24.8,1.8,36.8,21.7,3.2,0.1,1.9,0,24.2
(조사분기)2분기,3686,41.9,18.6,22.7,3.8,31.2,10.4,2.6,0.2,6.4,0,26.2
(조사분기)3분기,3305,50.4,15.8,22.9,4.1,30.2,7.4,1.8,0.2,5.6,0,24
(조사분기)4분기,3370,46.8,18.6,21.2,2.1,40.1,10.3,2.6,0.2,5.9,0.1,19.3
(성별)남성,4670,46.6,17.4,23.1,3,33.9,8.5,1.8,0.1,5.7,0.1,23.7
(성별)여성,5691,45.9,17.9,21.6,3.6,33.7,10.2,2.8,0.2,6.2,0,22.9
(연령)10대,738,46.4,23.3,25.9,6.2,17.2,2.5,1.8,0,7.2,0,31.3
(연령)20대,1827,53.5,25.4,24,3.6,33.3,9.4,3,0.5,9.3,0,14.3
(연령)30대,2623,53.7,21.2,21.2,3.2,34.4,7.7,2.3,0.3,7.2,0,19.3
(연령)40대,1969,48.5,17.1,19.9,2.6,34.9,8.5,3,0.1,7,0.1,23.2
(연령)50대,1378,39.2,12.6,26.7,3.1,34.5,14.6,3,0,2.6,0,25.7
(연령)60대 이상,1826,30.7,7.1,19.9,3,38.3,11.7,1,0.1,1.9,0,32.9
(지역1)서울,2616,49.2,18.4,24.1,3.1,38.9,11.4,1.9,0.3,5.3,0.1,17.1
(지역1)경기/인천,6275,43,16.4,20,3.3,32.3,9.5,1.7,0.1,5.7,0,27.4
(지역1)수도권 외,1470,54.4,22,28.8,4.1,30.9,5.6,5.9,0.2,8.5,0,16.4
(지역2)동일 시군거주,943,29.3,9.6,12.1,3.4,24,8.7,0.2,0.1,1.3,0,49.1
(지역2)이외 시군거주,9418,47.9,18.5,23.3,3.3,34.8,9.5,2.6,0.2,6.4,0,20.7
