구분,사례수,방문지 정보(개장시간_입장료_휴무일 등),방문자 후기,여행 코스(주변 관광지 정보),지역 축제 및 행사,교통상황 및 이동시간,음식_맛집,숙박 시설,쇼핑,여행 경비,기타,없음,모름_무응답
전체,10361,8.1,6.1,17.8,4.5,39.7,26.3,1,0.5,2.9,0,32,0
(관광지 유형(대분류))관광장소 및 시설,7360,8.6,7.5,17.2,4.4,39.5,25.3,1.1,0.6,3.6,0.1,31.8,0
(관광지 유형(대분류))문화,1222,9.3,3.3,26.5,5.2,51.4,34.5,0.8,0.1,1.6,0,19.2,0
(관광지 유형(대분류))자연 및 생태환경,1779,5.3,2.3,14.2,4.3,32.9,24.4,0.9,0.3,1,0,41.5,0
(관광지 유형(중분류))공원,207,1.9,1.3,44.6,1.6,23.6,24.1,0,0.3,0.5,0,28.6,0
(관광지 유형(중분류))관광지구,751,3.9,4.6,16.1,2,37.3,29.5,0.4,0.7,1.6,0,40.4,0
(관광지 유형(중분류))숙박음식시설,200,13.8,7.4,19.6,21,34.7,24.8,4,0.5,1.8,1,21.5,0
(관광지 유형(중분류))스포츠체육시설,205,6.3,2.7,20.1,9.2,26.6,9.3,0.3,0.9,0.3,0,49.8,0
(관광지 유형(중분류))유원휴양수련시설,4930,8.9,8.3,15.5,4.4,41.3,21.8,1.1,0.5,4.6,0,33.4,0
(관광지 유형(중분류))전시관람시설,1067,11,8,19.9,2.7,39.1,42,1,1.1,2.1,0,17.4,0
(관광지 유형(중분류))건축,293,9.1,1.1,45.4,1.1,69.1,45.8,0.2,0.1,2.5,0,0.5,0
(관광지 유형(중분류))마을,292,7.7,2.6,22.4,11.1,54.1,22,2.6,0,0,0,25.3,0
(관광지 유형(중분류))유적지 및 사적지,637,10.1,4.7,19.8,4.3,42,34.9,0.2,0.1,1.8,0,25.1,0
(관광지 유형(중분류))경승지,64,5.2,1.9,27.3,17.4,33.5,29.3,1.3,1.3,0,0,35.2,0
(관광지 유형(중분류))동식물,32,2.6,3.9,33.3,1.3,75.3,33.1,0,0,0,0,12.5,0
(관광지 유형(중분류))보호구역,219,5.9,3.5,7.6,3.3,17.7,24.1,0.4,0.2,0.6,0,58.8,0
(관광지 유형(중분류))산악 및 평지자원,249,5.2,2,16.1,2,22.6,42.3,0.2,0.6,2.1,0,42.6,0
(관광지 유형(중분류))수변 및 해양자원,1215,5.3,2.1,13.8,4.3,36.6,20.3,1.1,0.2,0.9,0,39.3,0
(조사분기)2분기,3686,7,6.8,16.8,4.5,32.7,26.7,1.1,0.7,3.8,0,37.3,0
(조사분기)3분기,3305,10.5,5.7,18.9,4.1,40.2,21.8,1,0.3,2.7,0,33.2,0
(조사분기)4분기,3370,7,5.7,17.9,4.9,47,30.2,0.9,0.4,2.2,0.1,25,0
(성별)남성,4670,7.5,6,18.4,4.5,40.3,25.9,0.9,0.6,2.7,0.1,32.1,0
(성별)여성,5691,8.6,6.3,17.4,4.5,39.3,26.5,1,0.4,3.1,0,31.9,0
(연령)10대,738,8.6,7.3,10.5,2.7,26.6,14.6,2.3,0.5,4.4,0,47.8,0
(연령)20대,1827,11.3,7.7,21.9,3.8,45.2,26.9,1.9,0.9,4.7,0,25,0.1
(연령)30대,2623,9.2,7.6,19.7,5.6,42.7,26,0.6,0.5,3.6,0,28.3,0
(연령)40대,1969,7.8,7.5,17.5,5.5,39.4,29.1,1,0.5,2.8,0.1,29.2,0
(연령)50대,1378,5.8,3.8,19.1,4.4,35.5,33.2,0.6,0.3,1.2,0.1,33.7,0
(연령)60대 이상,1826,5.3,2.2,13.4,3.3,38.9,22.4,0.4,0.1,1.3,0,39.5,0
(지역1)서울,2616,9.1,6.4,18.4,4.3,43,28.7,0.7,0.3,2.3,0.1,27.3,0
(지역1)경기/인천,6275,7.3,5.3,16.8,4.5,36.9,24.9,0.5,0.5,2.4,0,35.8,0
(지역1)수도권 외,1470,10,9.4,21,4.9,46.1,27.5,3.4,0.8,6.2,0,24.1,0
(지역2)동일 시군거주,943,5.4,4,11.3,3,22.6,20.5,0.1,0.5,1.3,0,53.4,0
(지역2)이외 시군거주,9418,8.4,6.3,18.5,4.6,41.5,26.8,1.1,0.5,3.1,0,29.8,0
