질문,faithfulness,answer_relevancy,context_precision,context_recall
광명동굴의 총 길이와 총 깊이는 얼마인가요?,1.0,0.894,1.0,1.0
화담숲은 서울에서 얼마나 걸리나요?,1.0,0.8669,1.0,1.0
가평 시티투어 예약 전화번호는 무엇인가요?,1.0,0.8693,0.5,1.0
경기도 구리시의 유네스코 세계문화유산은 무엇인가요?,1.0,0.851,1.0,1.0
남한산성이 유네스코 세계문화유산인 이유를 알려주세요.,1.0,0.8489,1.0,0.0
경기 서북부 시티투어 코스 종류는 어떤 것이 있나요?,0.8889,0.8647,1.0,1.0
화성시에서 공룡 화석을 볼 수 있는 곳은 어디인가요?,1.0,0.8577,1.0,1.0
광명동굴은 원래 어떤 용도로 사용되었나요?,1.0,0.863,1.0,1.0
군포시 도심 여행 추천 코스를 알려주세요.,1.0,0.8499,1.0,1.0
화성시의 대표 축제는 무엇인가요?,0.0,0.8573,0.5,1.0
